,responseVar,ids,gebv,group
0,2400.0,C11212,0.0071433408110424,PS Parent
1,2405.0,C11223,0.0072513399310376,PS Parent
2,1960.5,C11258,0.0051709195063727,PS Parent
3,2051.5,C11263,0.0062023084682769,PS Parent
4,1878.0,C11266,0.0054535002585643,PS Parent
5,2764.5,C11269,0.0070636014825378,PS Parent
6,2345.5,C11320,0.0008031904411625,PS Parent
7,2283.5,C11373,0.0051217635134565,PS Parent
8,2507.5,C13403,0.0044379173187835,PS Parent
9,1923.0,C13404,0.0038300621162551,Other
10,1970.0,C13406,0.0046719827824998,PS Parent
11,2002.0,C13411,0.0048178707275023,PS Parent
12,2091.0,C13413,0.0048529858871189,PS Parent
13,2139.5,C13414,0.0049359340674834,PS Parent
14,2476.0,C13417,0.0048617104414255,Other
15,2267.0,C14501,0.0061134447976672,PS Parent
16,2489.0,C14504,0.0072306448157244,PS Parent
17,2712.5,CR1701.3,-0.0041352303943925,Other
18,1212.5,CR1502_3,-0.0033534734526062,Other
19,1833.0,CR1503_1,-0.0043898699081549,Other
20,1505.5,CR1503_4,-0.0038702687234631,Other
21,1040.8,CR1701.1,-0.0041352303943925,Other
22,1415.0,CR1701.2,-0.004451613156146,Other
23,2075.0,C99833,0.0047003864626663,PS Parent
24,1738.5,CR1702.1,-0.0041352303943925,Other
25,1716.0,CR1703.1,0.0071146620212851,Other
26,1575.0,CR1703.3,-0.0040248775016282,Other
27,1503.0,CR1704.2,-0.0025923844350204,Other
28,1444.0,CR1704.3,-0.0009609793704132,Other
29,1766.0,CR1704.4,-0.0042261732897081,Other
30,1828.0,Etna,-0.004092760115193,PS Parent
